age,count
20,1211
21,1628
22,1687
23,94
24,261
25,1072
26,922
27,995
28,1104
29,1332
30,1403
31,1464
32,1245
33,1457
34,1371
35,1287
36,1186
37,1165
38,1175
39,1002
40,984
41,1060
42,974
43,1030
44,1008
45,177
46,415
47,528
48,261
49,324
50,148
